#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2025-04-15-06-20-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1744697948.496467	CHisGc4ITJLeacHxp9	REDACTED_IPV6	60581	REDACTED_IP	udp	-	0.307651	10256	0	S0	T	F	0	D	22	11312	0	0	-	17
1744697948.487464	Czpryg4BhgulBodCK9	REDACTED_IP	47150	REDACTED_IP	1900	udp	-	0.326551	10938	0	S0	T	T	0	D	24	11610	0	0	-	17
1744698017.914678	CVgTAu2mslextnflM5	REDACTED_IPV6	5353	REDACTED_IP	5353	udp	dns	-	-	-	S0	T	F	0	D	1	87	0	0	-	17
1744698017.914678	CyeTzn1MAwvmbcjhnc	REDACTED_IP	5353	REDACTED_IP	5353	udp	dns	-	-	-	S0	T	T	0	D	1	67	0	0	-	17
1744697968.147644	C8gsqSjioxNJlPYG9	REDACTED_IP	0	REDACTED_IP	0	unknown_transport	-	-	-	-	OTH	T	T	0	-	1	48	0	0	-	2
1744698039.938250	CizEGM14OMWE2khGA4	REDACTED_IP	49763	REDACTED_IP	8080	tcp	-	0.000040	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.938250	Cv3G1s3Zor2xvKqgl2	REDACTED_IP	49763	REDACTED_IP	21	tcp	-	0.000059	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.938250	CIjyTh1AaUmZITDLve	REDACTED_IP	49763	REDACTED_IP	587	tcp	-	0.000156	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.938250	CgzgHO194c7C9roJlf	REDACTED_IP	49763	REDACTED_IP	3306	tcp	-	0.000161	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.938250	CvjxIe30ncHpVPZuC	REDACTED_IP	49763	REDACTED_IP	113	tcp	-	0.000167	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.938250	C449WnNGgpiO7e4O	REDACTED_IP	49763	REDACTED_IP	1720	tcp	-	0.000167	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.938250	CaPp4R2W06ECuWFw1g	REDACTED_IP	49763	REDACTED_IP	5900	tcp	-	0.000168	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.938420	CKO7QB234ya18hLbtj	REDACTED_IP	49763	REDACTED_IP	1723	tcp	-	0.000006	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.938250	CyImQXvMdqVj8bj2g	REDACTED_IP	49763	REDACTED_IP	22	tcp	-	0.000591	0	0	RSTO	T	T	0	ShR	2	84	1	44	-	6
1744698039.949806	CzX9vq2o14Y2xczVN8	REDACTED_IP	49763	REDACTED_IP	554	tcp	-	0.000016	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949806	CD1J2v31X2Pes3WBW9	REDACTED_IP	49763	REDACTED_IP	199	tcp	-	0.000028	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949806	CwYjRI38aqcjXdyUij	REDACTED_IP	49763	REDACTED_IP	23	tcp	-	0.000029	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949806	CjSBausHWAMJemUd6	REDACTED_IP	49763	REDACTED_IP	143	tcp	-	0.000030	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949806	C0Om1k3TXOXFEGgS88	REDACTED_IP	49763	REDACTED_IP	1025	tcp	-	0.000030	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949806	CUPXwG242NVoTVTCif	REDACTED_IP	49763	REDACTED_IP	25	tcp	-	0.000031	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949806	ClxAEA3c4LjIFVqew4	REDACTED_IP	49763	REDACTED_IP	995	tcp	-	0.000039	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949806	C8BOwD2LMbvtzcYYEa	REDACTED_IP	49763	REDACTED_IP	445	tcp	-	0.000043	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949851	CcQ9ef4iKy5WQfekSf	REDACTED_IP	49763	REDACTED_IP	111	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949851	CGqdl549SZrCXaRgDj	REDACTED_IP	49763	REDACTED_IP	8888	tcp	-	0.000003	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949851	CD8IdB1xHITRCFaa5b	REDACTED_IP	49763	REDACTED_IP	3389	tcp	-	0.000004	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949851	CPKsYlP8thZsWjH5e	REDACTED_IP	49763	REDACTED_IP	443	tcp	-	0.000011	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949851	C6eZul1spQQpbwD6G1	REDACTED_IP	49763	REDACTED_IP	80	tcp	-	0.000012	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949851	CsaoTj1UTmDi5MWb9l	REDACTED_IP	49763	REDACTED_IP	993	tcp	-	0.000012	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949851	CtVJ8Yvv5h9c8zx9b	REDACTED_IP	49763	REDACTED_IP	139	tcp	-	0.000019	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949851	CUmv2W2mbMqMXuVFV3	REDACTED_IP	49763	REDACTED_IP	110	tcp	-	0.000020	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949881	Cj5mvF1NF3L4QI7nl2	REDACTED_IP	49763	REDACTED_IP	135	tcp	-	0.000001	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
1744698039.949881	Cdi9T51S8DCoD1m6Eb	REDACTED_IP	49763	REDACTED_IP	256	tcp	-	0.000002	0	0	REJ	T	T	0	Sr	1	44	1	40	-	6
